code_scheme,area_code,area_level,area_name,parent_scheme,parent_code,census_2011_code,snapshot_date,source_url,latitude,longitude,point_method,bbox_west,bbox_south,bbox_east,bbox_north,geometry_source,boundary_vintage
IN-PIN,132104,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132105,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132106,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132107,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132108,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132113,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132114,PostalCode,Karnal,LGD,67,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.688952,76.887790,inherited:District,76.462893,29.416477,77.229306,29.993439,SOI_Districts,2023-12-11
IN-PIN,132115,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132116,PostalCode,Karnal,LGD,67,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.688952,76.887790,inherited:District,76.462893,29.416477,77.229306,29.993439,SOI_Districts,2023-12-11
IN-PIN,132117,PostalCode,Karnal,LGD,67,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.688952,76.887790,inherited:District,76.462893,29.416477,77.229306,29.993439,SOI_Districts,2023-12-11
IN-PIN,132122,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132140,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132145,PostalCode,Panipat,LGD,71,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.337959,76.928109,inherited:District,76.631911,29.161766,77.161155,29.533973,SOI_Districts,2023-12-11
IN-PIN,132157,PostalCode,Karnal,LGD,67,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.688952,76.887790,inherited:District,76.462893,29.416477,77.229306,29.993439,SOI_Districts,2023-12-11
IN-PIN,133001,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133004,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133005,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133006,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133008,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133101,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133102,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133103,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,133104,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133201,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133202,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133203,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133204,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,133205,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133206,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,133301,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,133302,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134003,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,134005,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,134007,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,134008,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,134102,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134103,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134107,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
