code_scheme,area_code,area_level,area_name,parent_scheme,parent_code,parent_level,census_2011_code,snapshot_date,source_url,latitude,longitude,point_method,bbox_west,bbox_south,bbox_east,bbox_north,geometry_source,boundary_vintage,has_polygon,same_as
ISO-3166-1,IN,Country,India,,,,,03Sep2026,static,23.382088,79.485000,aggregate:State,68.177512,6.752783,97.412897,37.088342,SOI_States,2023-12-11,false,
LGD,35,State,Andaman And Nicobar Islands,ISO-3166-1,IN,Country,35,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,12.603196,92.829514,centroid,92.195893,6.752783,94.267398,13.677059,SOI_States,2023-12-11,true,
LGD,28,State,Andhra Pradesh,ISO-3166-1,IN,Country,28,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,15.753511,79.962484,centroid,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,true,
LGD,12,State,Arunachal Pradesh,ISO-3166-1,IN,Country,12,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,28.035268,94.673960,centroid,91.553545,26.650823,97.412897,29.465947,SOI_States,2023-12-11,true,
LGD,18,State,Assam,ISO-3166-1,IN,Country,18,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,26.355278,92.827110,centroid,89.698600,24.136135,96.017876,27.971475,SOI_States,2023-12-11,true,
LGD,10,State,Bihar,ISO-3166-1,IN,Country,10,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,25.678945,85.609012,centroid,83.320216,24.286006,88.293796,27.521777,SOI_States,2023-12-11,true,
LGD,4,State,Chandigarh,ISO-3166-1,IN,Country,4,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,30.729350,76.780565,centroid,76.705183,30.666359,76.849445,30.795209,SOI_States,2023-12-11,true,
LGD,22,State,Chhattisgarh,ISO-3166-1,IN,Country,22,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,21.265915,82.041059,centroid,80.244428,17.782307,84.395550,24.106277,SOI_States,2023-12-11,true,
LGD,7,State,Delhi,ISO-3166-1,IN,Country,7,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,28.643370,77.115437,centroid,76.838892,28.404668,77.347571,28.883500,SOI_States,2023-12-11,true,
LGD,30,State,Goa,ISO-3166-1,IN,Country,30,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,15.365280,74.049474,centroid,73.676952,14.898440,74.336437,15.801017,SOI_States,2023-12-11,true,
